MSOA,LSOA,Consumption (kWh),Number of meters,Mean consumption (kWh per meter),Median consumption (kWh per meter)
E02002648,E01012694,7647536.73,617,12394.71,11995.1
E02002648,E01012696,7173826.64,650,11036.66,10346.72
E02002648,E01012697,6973481.88,682,10225.05,9675.32
E02002648,E01012698,6122666.01,634,9657.2,9294.81
E02002649,E01012726,8668844.27,641,13523.94,13547.5
E02002649,E01012728,8149787.46,694,11743.21,10317.83
E02002649,E01012752,7443214.5,533,13964.76,12266.41
E02002649,E01012753,7351699.31,455,16157.58,15932.42
E02002649,E01012754,5428068.56,443,12252.98,11553.38
E02002649,E01012755,9683450.54,624,15518.35,14298.24
E02002650,E01012701,7686338.88,628,12239.39,11347.21
E02002650,E01012729,9595758.08,765,12543.47,12032.32
E02002650,E01012730,9951958.86,690,14423.13,12402.55
E02002650,E01012731,9187035.26,776,11838.96,10705.19
E02002650,E01012732,8873950.05,813,10915.07,10144.96
E02002651,E01012699,8714716.94,742,11744.9,11745.35
E02002651,E01012700,10364420.18,811,12779.8,12563.17
E02002651,E01012702,7836694.42,743,10547.37,9381
E02002651,E01012725,8793625.86,569,15454.53,13919.69
E02002651,E01012727,10210621.94,660,15470.64,14872.67
E02002652,E01012779,4377357.28,523,8369.71,8059.06
E02002652,E01012780,5545603.35,710,7810.71,7461.61
E02002652,E01012781,4026266.73,483,8335.96,8156.5
E02002652,E01012832,5067765.75,515,9840.32,9575.79
E02002652,E01033105,8610774.61,667,12909.71,11855.31
E02002652,E01033106,13713879.92,1350,10158.43,9076.28
E02002652,E01033107,4661922.24,358,13022.13,12694.88
E02002652,E01033108,11894077.76,1104,10773.62,10634.84
E02002653,E01012782,4457623.03,499,8933.11,8896.65
E02002653,E01012785,4759687.01,463,10280.1,10146.65
E02002653,E01012786,5761361.22,524,10994.96,10466.04
E02002653,E01012787,6089767.72,682,8929.28,8398.13
E02002653,E01012788,6201511.81,590,10511.04,10163.39
E02002653,E01012789,5491026.57,552,9947.51,9852.36
E02002654,E01012875,5048263.78,498,10137.08,9778.05
E02002654,E01012876,7218839.57,705,10239.49,10042.32
E02002654,E01012877,5849797.24,532,10995.86,10649.61
E02002654,E01012878,6836062.01,648,10549.48,10152.07
E02002654,E01012879,5451652.56,510,10689.51,10325.3
E02002655,E01012778,4823362.2,545,8850.21,8760.83
E02002655,E01012783,3792775.59,444,8542.29,8219
E02002655,E01012784,7719825.79,761,10144.32,10048.23
E02002655,E01012790,6125750,617,9928.28,9979.33
E02002655,E01012906,5814124.02,678,8575.4,8303.64
E02002655,E01012908,4337770.67,479,9055.89,8841.54
E02002656,E01012764,6743333.66,541,12464.57,11762.8
E02002656,E01012765,7944793.31,633,12551.02,12250
E02002656,E01012768,6256180.12,678,9227.4,8741.63
E02002656,E01012769,7742321.85,673,11504.19,11203.74
E02002657,E01012829,8604816.93,830,10367.25,9824.8
E02002657,E01012830,6880196.85,618,11133,10756.89
E02002657,E01012905,5339818.9,587,9096.8,8797.24
